Product1_ID,Product2_ID
28014,414302
28014,484183
28259,3566045
28329,910217
28329,1639001
28329,2048004
28329,2429658
28539,519442
28539,1018577
28546,1492295
29386,475419
29386,1380897
29386,2428727
29386,3298883
29414,413490
29414,1151703
29414,2252656
29414,2794414
29435,1397389
29435,3512579
29435,3697785
29778,3713640
29911,2204993
30415,48727
30716,1141987
30716,3834166
30786,2724589
30821,383656
31017,866341
31017,2926210
31017,3681636
31073,117971
31073,1372693
31073,3793909
31087,3420998
31752,341019
31752,862932
31990,1899366
32158,2994509
32186,145460
32466,29974
32466,182980
32466,1231664
32480,2383269
32480,2552522
32480,3695601
32725,150402
32886,972713
32886,1504216
32886,2985962
32886,3022068
32977,2643326
32977,3097031
33012,2872513
33418,2785132
33551,2924201
33565,1245391
33789,1079638
33789,1981686
34657,603897
34657,1726984
34832,330827
35140,3031973
35525,2333471
35525,3709195
35658,1647772
36036,2564226
36141,1125691
37464,2538746
37464,2751343
37464,3454514
37478,561519
37478,1792448
37478,2607416
37478,2717624
37478,3724294
37499,1142008
37499,3820978
37499,3828104
37597,2527847
37604,3715950
37632,2061521
37632,2161425
37758,3302985
37814,2724911
37863,187404
38248,37863
38339,697851
38661,848267
38731,71001
38766,266651
38766,1673476
38766,3258290
39102,490945
39102,3151281
39592,2615963
39655,2345805
39655,3427172
39690,744625
39690,1124494
39718,2843463
40152,542297
40460,1089291
40586,2348976
40586,3365096
40747,1518251
40957,2704233
41076,1864128
41167,813449
41475,254849
41475,2617671
41559,3047212
41965,757253
41979,991193
41979,1672622
41979,3248987
42623,292509
42623,586159
42623,2609201
42623,3367931
43351,3310356
43666,37604
43666,372918
43666,1076131
43666,2255547
43974,3595816
44093,1025507
44093,1201662
44093,2216340
44093,3361967
44107,439656
44107,1286698
44282,2680223
44534,684460
44898,1113588
44961,375711
44961,2477902
44961,3713262
45115,373212
45115,1895978
45206,898429
45269,999558
45283,1353779
45283,1432914
45283,2507190
45367,460110
45367,1693706
45367,2778867
45479,570759
45479,2208577
45479,2955687
45556,1619506
45619,1908515
46046,2042292
46046,2149049
46277,1257578
46312,146041
46312,3381693
46312,3442873
46403,3286927
46487,2766547
46746,1038975
46746,2318862
46746,2327150
46907,2908164
47453,1187935
47656,2731498
47663,542626
47663,1173907
47726,82894
47978,137354
47978,2628836
48069,884331
48069,1191589
48069,2538032
48286,1395212
48300,1519329
48300,3449306
48699,2734998
48706,2206981
48727,1328992
48727,3140830
48727,3568047
49077,1701798
49077,2438051
49077,3820789
49630,363916
50134,643769
50134,997339
50134,3469823
50295,282954
50295,591752
50295,1482439
50491,3338118
50575,1370705
50575,1536766
50575,2899309
51100,1567475
51100,2300046
51100,2439150
51282,37548
51282,1263850
51541,1242521
51541,2880444
51541,3687299
51947,3481723
51975,523817
51975,1637566
51975,2471539
52115,2467717
52514,310121
52514,1336069
52514,1931209
52514,2371831
52514,2885253
52871,1352904
52871,1522941
52871,1682275
52948,2406257
53438,587524
53438,2373714
54187,3421670
54299,2499189
54299,3639188
54509,1767479
54852,1687567
54852,2972732
54852,3092488
54873,2144534
54873,2916508
54873,3419906
55125,1794443
55125,2183391
55132,961275
55482,2543639
55825,388017
56014,334320
56014,3639440
56014,3794357
56644,1407364
56644,2827769
56644,3013927
56644,3038798
56889,2518677
56938,558754
56938,3794784
56959,1470364
56959,1646155
56959,2664928
57078,2531970
57288,412664
57316,3573549
57316,3685241
57323,1315979
57372,2062039
57372,3692304
57652,2438968
57694,654843
57694,3716384
57694,3795043
57771,1136345
57771,1937642
57904,2693607
58366,410732
58366,1208942
58758,253498
58772,615447
58772,742161
58772,891821
59087,1030876
59087,1583379
59087,1591793
59521,578963
59521,1228808
59745,3267670
59997,690823
60081,3671367
60662,416521
60662,1837906
60662,1928703
60984,1669479
60984,2178379
60984,2415238
61075,2316461
61285,118083
61831,115234
61831,1385377
61831,2454739
61831,2917404
62069,3439730
62293,2324602
62293,2661106
62335,119973
62335,910931
62335,1691221
62706,2059533
62825,1130017
62825,3423728
63077,739270
63077,1128400
64106,2589370
64106,3059532
64106,3645040
64274,328195
64274,3831380
64274,3836126
64274,3839129
64925,1878702
64925,2224460
65065,685986
65667,1288595
65709,3055094
66010,1781290
66164,418299
66570,1299291
66570,2259061
66696,2588698
66829,3026569
67081,2131661
67221,1453606
67662,219310
67662,839839
67662,3260908
67900,3599092
68019,3278366
68082,827526
68082,3106733
68208,1308083
69363,2412977
69440,2482116
69440,2561174
69629,1086827
69629,1166333
69629,2510550
